DATE,AAAFF
2013-08-01,4.43
2013-08-02,4.33
2013-08-05,4.38
2013-08-06,4.38
2013-08-07,4.33
2013-08-08,4.32
2013-08-09,4.33
2013-08-12,4.37
2013-08-13,4.46
2013-08-14,4.44
2013-08-15,4.52
2013-08-16,4.57
2013-08-19,4.62
2013-08-20,4.57
2013-08-21,4.61
2013-08-22,4.60
2013-08-23,4.52
2013-08-26,4.52
2013-08-27,4.44
2013-08-28,4.51
2013-08-29,4.44
2013-08-30,4.42
2013-09-02,.
2013-09-03,4.52
2013-09-04,4.55
2013-09-05,4.64
2013-09-06,4.64
2013-09-09,4.60
2013-09-10,4.65
2013-09-11,4.63
2013-09-12,4.61
2013-09-13,4.61
2013-09-16,4.64
2013-09-17,4.63
2013-09-18,4.55
2013-09-19,4.57
2013-09-20,4.54
2013-09-23,4.51
2013-09-24,4.44
2013-09-25,4.42
2013-09-26,4.47
2013-09-27,4.46
2013-09-30,4.50
2013-10-01,4.51
2013-10-02,4.51
2013-10-03,4.49
2013-10-04,4.52
2013-10-07,4.49
2013-10-08,4.48
2013-10-09,4.50
2013-10-10,4.50
2013-10-11,4.48
2013-10-14,.
2013-10-15,4.52
2013-10-16,4.46
2013-10-17,4.40
2013-10-18,4.40
2013-10-21,4.44
2013-10-22,4.37
2013-10-23,4.35
2013-10-24,4.38
2013-10-25,4.36
2013-10-28,4.37
2013-10-29,4.39
2013-10-30,4.40
2013-10-31,4.41
2013-11-01,4.46
2013-11-04,4.46
2013-11-05,4.52
2013-11-06,4.53
2013-11-07,4.49
2013-11-08,4.61
2013-11-11,.
2013-11-12,4.62
2013-11-13,4.59
2013-11-14,4.56
2013-11-15,4.56
2013-11-18,4.49
2013-11-19,4.53
2013-11-20,4.63
2013-11-21,4.61
2013-11-22,4.56
2013-11-25,4.56
2013-11-26,4.50
2013-11-27,4.53
2013-11-28,.
2013-11-29,4.55
2013-12-02,4.58
2013-12-03,4.56
2013-12-04,4.62
2013-12-05,4.63
2013-12-06,4.63
2013-12-09,4.61
2013-12-10,4.55
2013-12-11,4.58
2013-12-12,4.57
2013-12-13,4.55
2013-12-16,4.56
2013-12-17,4.54
2013-12-18,4.54
2013-12-19,4.48
2013-12-20,4.40
2013-12-23,4.42
2013-12-24,4.49
2013-12-25,.
2013-12-26,4.51
2013-12-27,4.49
2013-12-30,4.45
2013-12-31,4.50
2014-01-01,.
2014-01-02,4.47
2014-01-03,4.48
2014-01-06,4.45
2014-01-07,4.44
2014-01-08,4.46
2014-01-09,4.49
2014-01-10,4.43
2014-01-13,4.40
2014-01-14,4.43
2014-01-15,4.43
2014-01-16,4.41
2014-01-17,4.40
2014-01-20,.
2014-01-21,4.39
2014-01-22,4.41
2014-01-23,4.36
2014-01-24,4.38
2014-01-27,4.41
2014-01-28,4.41
2014-01-29,4.36
2014-01-30,4.37
2014-01-31,4.36
2014-02-03,4.28
2014-02-04,4.35
2014-02-05,4.41
2014-02-06,4.43
2014-02-07,4.43
2014-02-10,4.41
2014-02-11,4.44
2014-02-12,4.47
2014-02-13,4.43
2014-02-14,4.44
2014-02-17,.
2014-02-18,4.40
2014-02-19,4.43
2014-02-20,4.45
2014-02-21,4.37
2014-02-24,4.38
2014-02-25,4.32
2014-02-26,4.30
2014-02-27,4.26
2014-02-28,4.26
2014-03-03,4.22
2014-03-04,4.30
2014-03-05,4.30
2014-03-06,4.34
2014-03-07,4.38
2014-03-10,4.38
2014-03-11,4.38
2014-03-12,4.34
2014-03-13,4.27
2014-03-14,4.29
2014-03-17,4.33
2014-03-18,4.33
2014-03-19,4.37
2014-03-20,4.36
2014-03-21,4.31
2014-03-24,4.26
2014-03-25,4.27
2014-03-26,4.25
2014-03-27,4.21
2014-03-28,4.23
2014-03-31,4.26
2014-04-01,4.22
2014-04-02,4.25
2014-04-03,4.24
2014-04-04,4.20
2014-04-07,4.16
2014-04-08,4.17
2014-04-09,4.18
2014-04-10,4.16
2014-04-11,4.12
2014-04-14,4.13
2014-04-15,4.10
2014-04-16,4.10
2014-04-17,4.16
2014-04-18,.
2014-04-21,4.16
2014-04-22,4.14
2014-04-23,4.11
2014-04-24,4.10
2014-04-25,4.09
2014-04-28,4.11
2014-04-29,4.14
2014-04-30,4.12
2014-05-01,4.07
2014-05-02,4.03
2014-05-05,4.07
2014-05-06,4.04
2014-05-07,4.08
2014-05-08,4.09
2014-05-09,4.13
2014-05-12,4.16
2014-05-13,4.11
2014-05-14,4.04
2014-05-15,3.99
2014-05-16,4.00
2014-05-19,4.06
2014-05-20,4.06
2014-05-21,4.10
2014-05-22,4.14
2014-05-23,4.10
2014-05-26,.
2014-05-27,4.12
2014-05-28,4.04
2014-05-29,4.06
2014-05-30,4.08
2014-06-02,4.13
2014-06-03,4.18
2014-06-04,4.19
2014-06-05,4.18
2014-06-06,4.19
