DATE,BAAFF
2013-08-01,5.32
2013-08-02,5.22
2013-08-05,5.29
2013-08-06,5.27
2013-08-07,5.24
2013-08-08,5.22
2013-08-09,5.23
2013-08-12,5.25
2013-08-13,5.35
2013-08-14,5.34
2013-08-15,5.39
2013-08-16,5.45
2013-08-19,5.49
2013-08-20,5.45
2013-08-21,5.50
2013-08-22,5.49
2013-08-23,5.41
2013-08-26,5.38
2013-08-27,5.31
2013-08-28,5.36
2013-08-29,5.29
2013-08-30,5.27
2013-09-02,.
2013-09-03,5.35
2013-09-04,5.37
2013-09-05,5.45
2013-09-06,5.45
2013-09-09,5.42
2013-09-10,5.49
2013-09-11,5.46
2013-09-12,5.45
2013-09-13,5.46
2013-09-16,5.48
2013-09-17,5.45
2013-09-18,5.36
2013-09-19,5.39
2013-09-20,5.35
2013-09-23,5.33
2013-09-24,5.26
2013-09-25,5.25
2013-09-26,5.30
2013-09-27,5.29
2013-09-30,5.33
2013-10-01,5.34
2013-10-02,5.33
2013-10-03,5.32
2013-10-04,5.34
2013-10-07,5.31
2013-10-08,5.29
2013-10-09,5.30
2013-10-10,5.30
2013-10-11,5.28
2013-10-14,.
2013-10-15,5.31
2013-10-16,5.24
2013-10-17,5.17
2013-10-18,5.16
2013-10-21,5.19
2013-10-22,5.12
2013-10-23,5.10
2013-10-24,5.13
2013-10-25,5.11
2013-10-28,5.12
2013-10-29,5.14
2013-10-30,5.15
2013-10-31,5.15
2013-11-01,5.21
2013-11-04,5.21
2013-11-05,5.27
2013-11-06,5.29
2013-11-07,5.25
2013-11-08,5.38
2013-11-11,.
2013-11-12,5.39
2013-11-13,5.36
2013-11-14,5.32
2013-11-15,5.32
2013-11-18,5.24
2013-11-19,5.28
2013-11-20,5.38
2013-11-21,5.35
2013-11-22,5.31
2013-11-25,5.30
2013-11-26,5.25
2013-11-27,5.28
2013-11-28,.
2013-11-29,5.29
2013-12-02,5.32
2013-12-03,5.30
2013-12-04,5.37
2013-12-05,5.38
2013-12-06,5.37
2013-12-09,5.34
2013-12-10,5.28
2013-12-11,5.33
2013-12-12,5.33
2013-12-13,5.30
2013-12-16,5.30
2013-12-17,5.26
2013-12-18,5.30
2013-12-19,5.27
2013-12-20,5.18
2013-12-23,5.20
2013-12-24,5.27
2013-12-25,.
2013-12-26,5.29
2013-12-27,5.31
2013-12-30,5.26
2013-12-31,5.30
2014-01-01,.
2014-01-02,5.26
2014-01-03,5.27
2014-01-06,5.22
2014-01-07,5.21
2014-01-08,5.25
2014-01-09,5.21
2014-01-10,5.13
2014-01-13,5.11
2014-01-14,5.15
2014-01-15,5.15
2014-01-16,5.11
2014-01-17,5.10
2014-01-20,.
2014-01-21,5.08
2014-01-22,5.10
2014-01-23,5.04
2014-01-24,5.03
2014-01-27,5.07
2014-01-28,5.05
2014-01-29,5.00
2014-01-30,5.01
2014-01-31,5.00
2014-02-03,4.93
2014-02-04,4.98
2014-02-05,5.05
2014-02-06,5.06
2014-02-07,5.07
2014-02-10,5.05
2014-02-11,5.08
2014-02-12,5.09
2014-02-13,5.06
2014-02-14,5.07
2014-02-17,.
2014-02-18,5.04
2014-02-19,5.07
2014-02-20,5.08
2014-02-21,5.04
2014-02-24,5.06
2014-02-25,5.01
2014-02-26,4.98
2014-02-27,4.94
2014-02-28,4.95
2014-03-03,4.90
2014-03-04,4.98
2014-03-05,4.98
2014-03-06,5.03
2014-03-07,5.06
2014-03-10,5.07
2014-03-11,5.06
2014-03-12,5.03
2014-03-13,4.97
2014-03-14,4.97
2014-03-17,5.02
2014-03-18,5.02
2014-03-19,5.07
2014-03-20,5.05
2014-03-21,4.99
2014-03-24,4.94
2014-03-25,4.94
2014-03-26,4.91
2014-03-27,4.87
2014-03-28,4.90
2014-03-31,4.93
2014-04-01,4.95
2014-04-02,4.98
2014-04-03,4.96
2014-04-04,4.91
2014-04-07,4.86
2014-04-08,4.87
2014-04-09,4.88
2014-04-10,4.81
2014-04-11,4.77
2014-04-14,4.78
2014-04-15,4.74
2014-04-16,4.75
2014-04-17,4.80
2014-04-18,.
2014-04-21,4.81
2014-04-22,4.78
2014-04-23,4.75
2014-04-24,4.74
2014-04-25,4.72
2014-04-28,4.74
2014-04-29,4.76
2014-04-30,4.74
2014-05-01,4.68
2014-05-02,4.65
2014-05-05,4.69
2014-05-06,4.67
2014-05-07,4.70
2014-05-08,4.71
2014-05-09,4.75
2014-05-12,4.78
2014-05-13,4.73
2014-05-14,4.66
2014-05-15,4.63
2014-05-16,4.63
2014-05-19,4.67
2014-05-20,4.66
2014-05-21,4.71
2014-05-22,4.72
2014-05-23,4.69
2014-05-26,.
2014-05-27,4.66
2014-05-28,4.58
2014-05-29,4.60
2014-05-30,4.62
2014-06-02,4.67
2014-06-03,4.72
2014-06-04,4.75
2014-06-05,4.74
2014-06-06,4.74
2014-06-09,4.75
2014-06-10,4.76
2014-06-11,4.76
2014-06-12,4.70
2014-06-13,4.69
2014-06-16,4.68
2014-06-17,4.73
2014-06-18,4.70
2014-06-19,4.73
2014-06-20,4.73
2014-06-23,4.72
2014-06-24,4.67
2014-06-25,4.65
2014-06-26,4.61
2014-06-27,4.64
2014-06-30,4.62
2014-07-01,4.67
2014-07-02,4.74
2014-07-03,4.77
2014-07-04,.
2014-07-07,4.71
2014-07-08,4.67
2014-07-09,4.65
2014-07-10,4.66
2014-07-11,4.64
2014-07-14,4.67
2014-07-15,4.67
2014-07-16,4.65
2014-07-17,4.60
2014-07-18,4.61
2014-07-21,4.58
2014-07-22,4.58
2014-07-23,4.59
2014-07-24,4.63
2014-07-25,4.58
2014-07-28,4.60
2014-07-29,4.56
2014-07-30,4.65
2014-07-31,4.67
2014-08-01,4.66
2014-08-04,4.66
2014-08-05,4.65
2014-08-06,4.66
2014-08-07,4.62
2014-08-08,4.62
2014-08-11,4.63
2014-08-12,4.66
2014-08-13,4.65
2014-08-14,4.60
2014-08-15,4.54
2014-08-18,4.61
2014-08-19,4.64
2014-08-20,4.64
2014-08-21,4.60
2014-08-22,4.57
2014-08-25,4.55
2014-08-26,4.56
2014-08-27,4.52
2014-08-28,4.48
2014-08-29,4.51
2014-09-01,.
2014-09-02,4.58
2014-09-03,4.56
2014-09-04,4.61
2014-09-05,4.66
2014-09-08,4.65
2014-09-09,4.66
2014-09-10,4.71
2014-09-11,4.70
2014-09-12,4.80
2014-09-15,4.79
2014-09-16,4.81
2014-09-17,4.82
2014-09-18,4.82
2014-09-19,4.76
2014-09-22,4.75
2014-09-23,4.71
2014-09-24,4.75
2014-09-25,4.70
2014-09-26,4.72
2014-09-29,4.69
2014-09-30,4.74
2014-10-01,4.64
2014-10-02,4.67
2014-10-03,4.65
2014-10-06,4.64
2014-10-07,4.57
2014-10-08,4.58
2014-10-09,4.60
2014-10-10,4.58
2014-10-13,.
2014-10-14,4.51
2014-10-15,4.50
2014-10-16,4.55
2014-10-17,4.57
2014-10-20,4.56
2014-10-21,4.57
2014-10-22,4.58
2014-10-23,4.62
2014-10-24,4.63
2014-10-27,4.62
2014-10-28,4.64
2014-10-29,4.61
2014-10-30,4.62
2014-10-31,4.67
2014-11-03,4.66
2014-11-04,4.64
2014-11-05,4.66
2014-11-06,4.70
2014-11-07,4.66
2014-11-10,4.70
2014-11-11,.
2014-11-12,4.71
2014-11-13,4.73
2014-11-14,4.71
2014-11-17,4.73
2014-11-18,4.73
2014-11-19,4.77
2014-11-20,4.76
2014-11-21,4.70
2014-11-24,4.70
2014-11-25,4.63
2014-11-26,4.61
2014-11-27,.
2014-11-28,4.62
2014-12-01,4.63
2014-12-02,4.70
2014-12-03,4.69
2014-12-04,4.66
2014-12-05,4.67
2014-12-08,4.62
2014-12-09,4.61
2014-12-10,4.59
2014-12-11,4.60
2014-12-12,4.56
2014-12-15,4.57
2014-12-16,4.55
2014-12-17,4.61
2014-12-18,4.65
2014-12-19,4.60
2014-12-22,4.57
2014-12-23,4.66
2014-12-24,4.64
2014-12-25,.
2014-12-26,4.62
2014-12-29,4.58
2014-12-30,4.56
2014-12-31,4.62
2015-01-01,.
2015-01-02,4.51
2015-01-05,4.44
2015-01-06,4.37
2015-01-07,4.37
2015-01-08,4.45
2015-01-09,4.41
2015-01-12,4.35
2015-01-13,4.34
2015-01-14,4.32
2015-01-15,4.30
2015-01-16,4.32
2015-01-19,.
2015-01-20,4.31
2015-01-21,4.34
2015-01-22,4.37
2015-01-23,4.29
2015-01-26,4.29
2015-01-27,4.31
2015-01-28,4.20
2015-01-29,4.24
2015-01-30,4.23
2015-02-02,4.17
2015-02-03,4.28
2015-02-04,4.30
2015-02-05,4.31
2015-02-06,4.39
2015-02-09,4.37
2015-02-10,4.42
2015-02-11,4.41
