DATE,Tsec_1yr_yld,Tsec_2yr_yld,Tsec_3yr_yld,Tsec_5yr_yld,Tsec_7yr_yld,Tsec_10yr_yld,Tsec_20yr_yld,Tsec_30yr_yld
2013-08-01,0.13,0.35,0.65,1.49,2.15,2.74,3.48,3.77
2013-08-02,0.11,0.3,0.59,1.36,2.01,2.63,3.39,3.69
2013-08-05,0.12,0.32,0.61,1.39,2.04,2.67,3.42,3.73
2013-08-06,0.12,0.32,0.62,1.39,2.04,2.67,3.42,3.73
2013-08-07,0.12,0.32,0.61,1.38,2.0,2.61,3.37,3.68
2013-08-08,0.12,0.3,0.61,1.36,1.98,2.58,3.37,3.65
2013-08-09,0.11,0.32,0.61,1.36,1.98,2.57,3.36,3.63
2013-08-12,0.12,0.32,0.62,1.39,2.01,2.61,3.39,3.67
2013-08-13,0.12,0.34,0.68,1.49,2.13,2.71,3.48,3.75
2013-08-14,0.12,0.34,0.67,1.48,2.12,2.71,3.48,3.75
2013-08-15,0.13,0.36,0.7,1.54,2.18,2.77,3.54,3.81
2013-08-16,0.13,0.36,0.73,1.6,2.25,2.84,3.61,3.86
2013-08-19,0.13,0.36,0.76,1.63,2.29,2.88,3.64,3.89
2013-08-20,0.13,0.36,0.73,1.57,2.22,2.82,3.59,3.86
2013-08-21,0.14,0.38,0.76,1.64,2.3,2.87,3.64,3.9
2013-08-22,0.14,0.42,0.82,1.71,2.34,2.9,3.63,3.88
2013-08-23,0.14,0.4,0.8,1.66,2.27,2.82,3.55,3.8
2013-08-26,0.13,0.41,0.79,1.61,2.23,2.79,3.52,3.77
2013-08-27,0.12,0.38,0.77,1.56,2.15,2.72,3.45,3.7
2013-08-28,0.14,0.4,0.79,1.62,2.22,2.78,3.5,3.75
2013-08-29,0.14,0.39,0.79,1.6,2.2,2.75,3.45,3.7
2013-08-30,0.13,0.39,0.79,1.62,2.24,2.78,3.46,3.7
2013-09-02,0.135,0.41000000000000003,0.81,1.65,2.2750000000000004,2.82,3.5,3.745
2013-09-03,0.14,0.43,0.83,1.68,2.31,2.86,3.54,3.79
2013-09-04,0.14,0.46,0.89,1.74,2.36,2.9,3.56,3.8
2013-09-05,0.16,0.52,0.97,1.85,2.45,2.98,3.64,3.88
2013-09-06,0.14,0.46,0.91,1.77,2.38,2.94,3.62,3.87
2013-09-09,0.12,0.45,0.87,1.71,2.34,2.9,3.6,3.84
2013-09-10,0.13,0.5,0.92,1.78,2.4,2.96,3.65,3.88
2013-09-11,0.12,0.47,0.88,1.72,2.34,2.93,3.61,3.85
2013-09-12,0.13,0.45,0.87,1.72,2.34,2.92,3.6,3.85
2013-09-13,0.13,0.45,0.87,1.71,2.32,2.9,3.59,3.84
2013-09-16,0.13,0.41,0.8,1.65,2.27,2.88,3.61,3.87
2013-09-17,0.12,0.39,0.78,1.62,2.26,2.86,3.57,3.84
2013-09-18,0.11,0.34,0.67,1.43,2.05,2.69,3.46,3.75
2013-09-19,0.1,0.34,0.69,1.49,2.13,2.76,3.52,3.8
2013-09-20,0.11,0.34,0.69,1.5,2.13,2.75,3.5,3.77
2013-09-23,0.1,0.35,0.68,1.48,2.1,2.72,3.46,3.73
2013-09-24,0.1,0.35,0.67,1.44,2.05,2.67,3.4,3.67
2013-09-25,0.1,0.36,0.66,1.41,2.01,2.63,3.37,3.65
2013-09-26,0.09,0.34,0.67,1.43,2.05,2.66,3.41,3.69
2013-09-27,0.1,0.34,0.64,1.4,2.02,2.64,3.4,3.68
2013-09-30,0.1,0.33,0.63,1.39,2.02,2.64,3.41,3.69
2013-10-01,0.1,0.33,0.66,1.42,2.04,2.66,3.43,3.72
2013-10-02,0.11,0.31,0.62,1.38,2.01,2.63,3.41,3.7
2013-10-03,0.11,0.33,0.61,1.36,1.99,2.62,3.4,3.71
2013-10-04,0.11,0.33,0.66,1.41,2.05,2.66,3.43,3.73
2013-10-07,0.12,0.37,0.66,1.41,2.03,2.65,3.41,3.7
2013-10-08,0.15,0.4,0.7,1.43,2.05,2.66,3.41,3.7
2013-10-09,0.15,0.37,0.68,1.43,2.06,2.68,3.43,3.73
2013-10-10,0.14,0.35,0.68,1.44,2.09,2.71,3.46,3.75
2013-10-11,0.14,0.35,0.66,1.42,2.07,2.7,3.45,3.74
2013-10-14,0.15000000000000002,0.36,0.67,1.435,2.09,2.725,3.475,3.76
2013-10-15,0.16,0.37,0.68,1.45,2.11,2.75,3.5,3.78
2013-10-16,0.15,0.34,0.64,1.41,2.06,2.69,3.43,3.72
2013-10-17,0.13,0.33,0.61,1.35,1.98,2.61,3.36,3.66
2013-10-18,0.12,0.33,0.62,1.35,1.98,2.6,3.36,3.65
2013-10-21,0.11,0.33,0.63,1.38,2.01,2.63,3.39,3.68
2013-10-22,0.1,0.31,0.59,1.3,1.92,2.54,3.31,3.61
2013-10-23,0.11,0.31,0.6,1.3,1.9,2.51,3.29,3.59
2013-10-24,0.12,0.33,0.59,1.32,1.92,2.53,3.3,3.61
2013-10-25,0.11,0.32,0.59,1.3,1.9,2.53,3.3,3.6
2013-10-28,0.11,0.32,0.59,1.31,1.91,2.54,3.31,3.61
2013-10-29,0.11,0.31,0.59,1.29,1.9,2.53,3.31,3.62
2013-10-30,0.11,0.33,0.58,1.3,1.93,2.55,3.33,3.63
2013-10-31,0.1,0.31,0.57,1.31,1.95,2.57,3.33,3.63
2013-11-01,0.1,0.33,0.61,1.37,2.03,2.65,3.4,3.69
2013-11-04,0.09,0.32,0.6,1.36,2.01,2.63,3.4,3.7
2013-11-05,0.1,0.32,0.6,1.39,2.06,2.69,3.46,3.76
2013-11-06,0.11,0.3,0.58,1.34,2.02,2.67,3.46,3.77
2013-11-07,0.11,0.29,0.55,1.31,1.98,2.63,3.41,3.71
2013-11-08,0.12,0.32,0.62,1.42,2.12,2.77,3.55,3.84
2013-11-11,0.125,0.33,0.635,1.4449999999999998,2.14,2.785,3.5599999999999996,3.8499999999999996
2013-11-12,0.13,0.34,0.65,1.47,2.16,2.8,3.57,3.86
2013-11-13,0.13,0.32,0.61,1.41,2.1,2.75,3.54,3.83
2013-11-14,0.13,0.29,0.56,1.34,2.04,2.69,3.49,3.79
2013-11-15,0.13,0.31,0.58,1.36,2.06,2.71,3.5,3.8
2013-11-18,0.13,0.31,0.56,1.33,2.02,2.67,3.46,3.76
2013-11-19,0.14,0.29,0.58,1.37,2.06,2.71,3.5,3.8
2013-11-20,0.12,0.28,0.57,1.39,2.13,2.8,3.61,3.9
2013-11-21,0.12,0.29,0.55,1.38,2.12,2.79,3.59,3.89
2013-11-22,0.12,0.31,0.57,1.37,2.1,2.75,3.54,3.84
2013-11-25,0.14,0.3,0.57,1.37,2.08,2.74,3.53,3.83
2013-11-26,0.13,0.29,0.55,1.34,2.05,2.71,3.5,3.8
2013-11-27,0.13,0.28,0.55,1.36,2.08,2.74,3.52,3.81
2013-11-28,0.13,0.28,0.555,1.3650000000000002,2.09,2.745,3.5300000000000002,3.815
2013-11-29,0.13,0.28,0.56,1.37,2.1,2.75,3.54,3.82
2013-12-02,0.13,0.3,0.59,1.43,2.16,2.81,3.58,3.86
2013-12-03,0.13,0.28,0.58,1.4,2.13,2.79,3.56,3.84
2013-12-04,0.14,0.3,0.6,1.45,2.19,2.84,3.63,3.9
2013-12-05,0.13,0.3,0.61,1.49,2.23,2.88,3.65,3.92
2013-12-06,0.13,0.3,0.64,1.51,2.23,2.88,3.63,3.9
2013-12-09,0.13,0.3,0.64,1.5,2.23,2.86,3.61,3.88
2013-12-10,0.14,0.3,0.62,1.46,2.17,2.81,3.56,3.83
2013-12-11,0.13,0.31,0.63,1.5,2.21,2.86,3.61,3.87
2013-12-12,0.14,0.34,0.67,1.55,2.26,2.89,3.63,3.91
2013-12-13,0.14,0.34,0.68,1.55,2.25,2.88,3.61,3.88
2013-12-16,0.13,0.34,0.68,1.55,2.26,2.89,3.63,3.9
2013-12-17,0.14,0.34,0.65,1.52,2.22,2.85,3.6,3.88
2013-12-18,0.13,0.32,0.64,1.55,2.26,2.89,3.63,3.9
2013-12-19,0.13,0.35,0.7,1.63,2.35,2.94,3.64,3.91
2013-12-20,0.13,0.37,0.74,1.66,2.33,2.89,3.57,3.82
2013-12-23,0.14,0.38,0.77,1.68,2.37,2.94,3.6,3.85
2013-12-24,0.14,0.38,0.8,1.73,2.43,2.99,3.66,3.9
2013-12-25,0.135,0.4,0.805,1.7349999999999999,2.43,2.995,3.67,3.91
2013-12-26,0.13,0.42,0.81,1.74,2.43,3.0,3.68,3.92
2013-12-27,0.12,0.4,0.79,1.74,2.44,3.02,3.7,3.94
